content,tag,content_original
"ASSIGN = dict((y, x) for x, y in models.items())",0,"['models_map = dict((y, x) for x, y in models.items())']"
"def preprocess_data(X_train,X_val,X_test,y_train,y_val,y_test): ASSIGN=normalize_X(ASSIGN) ASSIGN=normalize_X(ASSIGN) ASSIGN=normalize_X(ASSIGN) ASSIGN = shuffle(ASSIGN, random_state=42) ASSIGN = shuffle(ASSIGN, random_state=42) ASSIGN = shuffle(ASSIGN, random_state=42) return X_train,X_val,X_test,y_train,y_val,y_test",0,"['def preprocess_data(X_train,X_val,X_test,y_train,y_val,y_test):\n', '    X_train=normalize_X(X_train)\n', '    X_val=normalize_X(X_val)\n', '    X_test=normalize_X(X_test)\n', '    X_train, y_train = shuffle(X_train, y_train, random_state=42)\n', '    X_val, y_val = shuffle(X_val, y_val, random_state=42)\n', '    X_test, y_test = shuffle(X_test, y_test, random_state=42)\n', '    return X_train,X_val,X_test,y_train,y_val,y_test']"
ASSIGN = ASSIGN.T,0,['artime = artime.T']
SETUP,0,"['import pandas as pd\n', 'import numpy as np\n', 'import matplotlib.pyplot as plt\n', 'import seaborn as sns\n', 'from matplotlib.pyplot import figure, show\n', 'from matplotlib.ticker import MaxNLocator\n', 'import os \n', 'import time\n', 'from matplotlib import cm\n', 'import pylab as pl']"
"final.drop(['First','Last','Name','Last Name'],axis = 1,inplace = True)",0,"[""final.drop(['First','Last','Name','Last Name'],axis = 1,inplace = True)""]"
"CHECKPOINT test_df['Seed1'] = test_df['Seed1'].map(lambda x: get_seed(x)) test_df['Seed2'] = test_df['Seed2'].map(lambda x: get_seed(x)) test_df['Seed_diff'] = test_df['Seed1'] - test_df['Seed2'] test_df['ScoreT_diff'] = test_df['ScoreT1'] - test_df['ScoreT2'] ASSIGN = ASSIGN.drop(['ID', 'Pred', 'Season', 'WTeamID', 'LTeamID'], axis=1) test_df",0,"[""test_df['Seed1'] = test_df['Seed1'].map(lambda x: get_seed(x))\n"", ""test_df['Seed2'] = test_df['Seed2'].map(lambda x: get_seed(x))\n"", ""test_df['Seed_diff'] = test_df['Seed1'] - test_df['Seed2']\n"", ""test_df['ScoreT_diff'] = test_df['ScoreT1'] - test_df['ScoreT2']\n"", ""test_df = test_df.drop(['ID', 'Pred', 'Season', 'WTeamID', 'LTeamID'], axis=1)\n"", 'test_df']"
"CHECKPOINT ASSIGN = svm.SVC(C = 1,degree = 2, kernel = 'poly',class_weight = 'balanced',gamma = 'scale') ASSIGN = cross_val_score(svc,x_train,x_test,ASSIGN=10) Accuracy3 = ASSIGN.mean() Accuracy.append(Accuracy3) print(ASSIGN) print(ASSIGN.mean())",0,"[""SVM_all = svm.SVC(C = 1,degree = 2, kernel = 'poly',class_weight = 'balanced',gamma = 'scale')\n"", 'cv = cross_val_score(svc,x_train,x_test,cv=10)\n', 'Accuracy3 = cv.mean()\n', 'Accuracy.append(Accuracy3)\n', 'print(cv)\n', 'print(cv.mean())']"
"ASSIGN = pd.get_dummies(ASSIGN, columns = [""Cabin_final""],prefix=""Cabin_"")",0,"['final = pd.get_dummies(final, columns = [""Cabin_final""],prefix=""Cabin_"")']"
"plt.bar(parts,damage_per_strike,color='red') plt.title(""Parts Damage per strike in the Aircraft"") plt.xticks(rotation='vertical')",1,"[""plt.bar(parts,damage_per_strike,color='red')\n"", 'plt.title(""Parts Damage per strike in the Aircraft"")\n', ""plt.xticks(rotation='vertical')""]"
"sns.catplot(x='Year', y='Arson', data=cbdr,height = 5, aspect = 4)",1,"[""sns.catplot(x='Year', y='Arson', data=cbdr,height = 5, aspect = 4)""]"
df_all.sample(n=5),0,['df_all.sample(n=5)']
"CHECKPOINT ''' ASSIGN = SVC(gamma='auto',C=0.1,kernel=""linear"", probability=True) ASSIGN.fit(train_x, train_y) ASSIGN= svc.predict(test_x) ASSIGN = svc.score(train_x, train_y) print('training accuracy: %.5f' % ASSIGN) ASSIGN =svc.predict(test_x) X=accuracy_score(test_y, ASSIGN) print('test accuracy: %.5f' % X)'''",0,"['# Support Vector Machines\n', '#運算時間太長\n', ""'''\n"", 'svc = SVC(gamma=\'auto\',C=0.1,kernel=""linear"", probability=True)\n', 'svc.fit(train_x, train_y)\n', 'predict_y= svc.predict(test_x)\n', 'acc_svc = svc.score(train_x, train_y)\n', ""print('training accuracy: %.5f' % acc_svc)\n"", '\n', 'predict_y =svc.predict(test_x)\n', 'X=accuracy_score(test_y, predict_y)\n', ""print('test accuracy: %.5f' % X)'''""]"
"SETUP CHECKPOINT ASSIGN = pd.read_csv(""..path""); print(ASSIGN.iloc[1:10,3:5])",0,"['#Q.4 Write a pandas program to select the specified columns and rows from a given DataFrame.\n', 'import pandas as pd\n', 'df = pd.read_csv(""../input/prediction-of-asteroid-diameter/Asteroid.csv"");\n', 'print(df.iloc[1:10,3:5])']"
"plt.figure(figsize = [12,5]) sns.distplot(data[data['Clicked']==0]['Salary'], label = 'Clicked==0') sns.distplot(data[data['Clicked']==1]['Salary'], label = 'Clicked==1') plt.legend() plt.show()",1,"['plt.figure(figsize = [12,5])\n', ""sns.distplot(data[data['Clicked']==0]['Salary'], label = 'Clicked==0')\n"", ""sns.distplot(data[data['Clicked']==1]['Salary'], label = 'Clicked==1')\n"", 'plt.legend()\n', 'plt.show()']"
"sns.lineplot(x = 'GRE Score', y = 'CGPA', data = df)",1,"[""sns.lineplot(x = 'GRE Score', y = 'CGPA', data = df)""]"
